model,benchmark,error_type,count,percentage
Gemma/Gemma3-4B,gsm_symbolic,drifting,8,12.7
Gemma/Gemma3-4B,gsm_symbolic,distractor,36,57.1
Gemma/Gemma3-4B,gsm_symbolic,negation,0,0.0
Gemma/Gemma3-4B,gsm_symbolic,multi_hop,0,0.0
Gemma/Gemma3-4B,gsm_symbolic,hallucination,1,1.6
Gemma/Gemma3-4B,gsm_symbolic,format_correct_wrong_answer,7,11.1
Gemma/Gemma3-4B,gsm_symbolic,off_topic,0,0.0
Gemma/Gemma3-4B,gsm_symbolic,premise_order_sensitivity,0,0.0
Gemma/Gemma3-4B,gsm_symbolic,arithmetic_slip,11,17.5
Gemma/Gemma3-4B,gsm_symbolic,unknown,0,0.0
Llama/Llama3-2-1-5B,gsm_symbolic,confidently_wrong,0,0.0
Llama/Llama3-2-1-5B,gsm_symbolic,drifting,18,9.5
Llama/Llama3-2-1-5B,gsm_symbolic,distractor,40,21.1
Llama/Llama3-2-1-5B,gsm_symbolic,negation,0,0.0
Llama/Llama3-2-1-5B,gsm_symbolic,multi_hop,0,0.0
Llama/Llama3-2-1-5B,gsm_symbolic,hallucination,58,30.5
Llama/Llama3-2-1-5B,gsm_symbolic,format_correct_wrong_answer,60,31.6
Llama/Llama3-2-1-5B,gsm_symbolic,off_topic,0,0.0
Llama/Llama3-2-1-5B,gsm_symbolic,premise_order_sensitivity,0,0.0
Llama/Llama3-2-1-5B,gsm_symbolic,arithmetic_slip,14,7.4
Llama/Llama3-2-1-5B,gsm_symbolic,unknown,0,0.0
Llama/Llama3-2-3B,gsm_symbolic,confidently_wrong,0,0.0
Llama/Llama3-2-3B,gsm_symbolic,drifting,4,5.3
Llama/Llama3-2-3B,gsm_symbolic,distractor,13,17.1
Llama/Llama3-2-3B,gsm_symbolic,negation,0,0.0
Llama/Llama3-2-3B,gsm_symbolic,multi_hop,0,0.0
Llama/Llama3-2-3B,gsm_symbolic,hallucination,31,40.8
Llama/Llama3-2-3B,gsm_symbolic,format_correct_wrong_answer,26,34.2
Llama/Llama3-2-3B,gsm_symbolic,off_topic,0,0.0
Llama/Llama3-2-3B,gsm_symbolic,premise_order_sensitivity,0,0.0
Llama/Llama3-2-3B,gsm_symbolic,arithmetic_slip,2,2.6
Llama/Llama3-2-3B,gsm_symbolic,unknown,0,0.0
Qwen/Qwen2-5-3B,gsm_symbolic,confidently_wrong,0,0.0
Qwen/Qwen2-5-3B,gsm_symbolic,drifting,7,4.7
Qwen/Qwen2-5-3B,gsm_symbolic,distractor,12,8.0
Qwen/Qwen2-5-3B,gsm_symbolic,negation,0,0.0
Qwen/Qwen2-5-3B,gsm_symbolic,multi_hop,0,0.0
Qwen/Qwen2-5-3B,gsm_symbolic,hallucination,8,5.3
Qwen/Qwen2-5-3B,gsm_symbolic,format_correct_wrong_answer,112,74.7
Qwen/Qwen2-5-3B,gsm_symbolic,off_topic,0,0.0
Qwen/Qwen2-5-3B,gsm_symbolic,premise_order_sensitivity,0,0.0
Qwen/Qwen2-5-3B,gsm_symbolic,arithmetic_slip,11,7.3
Qwen/Qwen2-5-3B,gsm_symbolic,unknown,0,0.0
Qwen/Qwen2-5-3B,gsm_symbolic,confidently_wrong,0,0.0
Qwen/Qwen2-5-3B,gsm_symbolic,drifting,10,8.3
Qwen/Qwen2-5-3B,gsm_symbolic,distractor,10,8.3
Qwen/Qwen2-5-3B,gsm_symbolic,negation,0,0.0
Qwen/Qwen2-5-3B,gsm_symbolic,multi_hop,0,0.0
Qwen/Qwen2-5-3B,gsm_symbolic,hallucination,9,7.4
Qwen/Qwen2-5-3B,gsm_symbolic,format_correct_wrong_answer,82,67.8
Qwen/Qwen2-5-3B,gsm_symbolic,off_topic,0,0.0
Qwen/Qwen2-5-3B,gsm_symbolic,premise_order_sensitivity,0,0.0
Qwen/Qwen2-5-3B,gsm_symbolic,arithmetic_slip,10,8.3
Qwen/Qwen2-5-3B,gsm_symbolic,unknown,0,0.0
Qwen/Qwen2-math-1-5B,gsm_symbolic,confidently_wrong,0,0.0
Qwen/Qwen2-math-1-5B,gsm_symbolic,drifting,13,22.4
Qwen/Qwen2-math-1-5B,gsm_symbolic,distractor,34,58.6
Qwen/Qwen2-math-1-5B,gsm_symbolic,negation,0,0.0
Qwen/Qwen2-math-1-5B,gsm_symbolic,multi_hop,0,0.0
Qwen/Qwen2-math-1-5B,gsm_symbolic,hallucination,1,1.7
Qwen/Qwen2-math-1-5B,gsm_symbolic,format_correct_wrong_answer,7,12.1
Qwen/Qwen2-math-1-5B,gsm_symbolic,off_topic,0,0.0
Qwen/Qwen2-math-1-5B,gsm_symbolic,premise_order_sensitivity,0,0.0
Qwen/Qwen2-math-1-5B,gsm_symbolic,arithmetic_slip,3,5.2
Qwen/Qwen2-math-1-5B,gsm_symbolic,unknown,0,0.0
