family,benchmark,condition,error_type,count,pct
gemma,gsm_symbolic,targeted_few_shot,hallucination,2,0.01
gemma,gsm_symbolic,targeted_few_shot_k5,correct,22,0.11
gemma,gsm_symbolic,targeted_few_shot_k5,format_correct_wrong_answer,50,0.25
gemma,gsm_symbolic,targeted_few_shot_k5,distractor,7,0.035
gemma,gsm_symbolic,targeted_few_shot_k5,drifting,68,0.34
gemma,gsm_symbolic,targeted_few_shot_k5,arithmetic_slip,51,0.255
gemma,gsm_symbolic,targeted_few_shot_k5,hallucination,1,0.005
gemma,gsm_symbolic,targeted_few_shot_k5,off_topic,1,0.005
gemma,gsm_symbolic,error_targeted_icl,distractor,9,0.045
gemma,gsm_symbolic,error_targeted_icl,format_correct_wrong_answer,61,0.305
gemma,gsm_symbolic,error_targeted_icl,drifting,63,0.315
gemma,gsm_symbolic,error_targeted_icl,arithmetic_slip,41,0.205
gemma,gsm_symbolic,error_targeted_icl,correct,3,0.015
gemma,gsm_symbolic,error_targeted_icl,hallucination,23,0.115
gemma,gsm_symbolic,error_targeted_icl_random,format_correct_wrong_answer,49,0.245
gemma,gsm_symbolic,error_targeted_icl_random,off_topic,7,0.035
gemma,gsm_symbolic,error_targeted_icl_random,distractor,25,0.125
gemma,gsm_symbolic,error_targeted_icl_random,drifting,57,0.285
gemma,gsm_symbolic,error_targeted_icl_random,correct,14,0.07
gemma,gsm_symbolic,error_targeted_icl_random,hallucination,23,0.115
gemma,gsm_symbolic,error_targeted_icl_random,arithmetic_slip,25,0.125
gemma,gsm_symbolic,error_targeted_icl_correct_only,distractor,13,0.065
gemma,gsm_symbolic,error_targeted_icl_correct_only,correct,22,0.11
gemma,gsm_symbolic,error_targeted_icl_correct_only,format_correct_wrong_answer,48,0.24
gemma,gsm_symbolic,error_targeted_icl_correct_only,arithmetic_slip,70,0.35
gemma,gsm_symbolic,error_targeted_icl_correct_only,drifting,47,0.235
gemma,gsm_symbolic,self_consistency,correct,38,0.19
gemma,gsm_symbolic,self_consistency,format_correct_wrong_answer,9,0.045
gemma,gsm_symbolic,self_consistency,off_topic,150,0.75
gemma,gsm_symbolic,self_consistency,confidently_wrong,2,0.01
gemma,gsm_symbolic,self_consistency,arithmetic_slip,1,0.005
gemma,gsm_plus,zero_shot_baseline,distractor,14,0.07
gemma,gsm_plus,zero_shot_baseline,drifting,88,0.44
gemma,gsm_plus,zero_shot_baseline,correct,34,0.17
gemma,gsm_plus,zero_shot_baseline,arithmetic_slip,15,0.075
gemma,gsm_plus,zero_shot_baseline,off_topic,1,0.005
gemma,gsm_plus,zero_shot_baseline,negation,16,0.08
gemma,gsm_plus,zero_shot_baseline,format_correct_wrong_answer,29,0.145
gemma,gsm_plus,zero_shot_baseline,hallucination,3,0.015
gemma,gsm_plus,zero_shot,distractor,13,0.065
gemma,gsm_plus,zero_shot,drifting,81,0.405
gemma,gsm_plus,zero_shot,correct,32,0.16
gemma,gsm_plus,zero_shot,format_correct_wrong_answer,39,0.195
gemma,gsm_plus,zero_shot,off_topic,3,0.015
gemma,gsm_plus,zero_shot,negation,14,0.07
gemma,gsm_plus,zero_shot,arithmetic_slip,14,0.07
gemma,gsm_plus,zero_shot,hallucination,4,0.02
gemma,gsm_plus,targeted_few_shot_answer_only,distractor,22,0.11
gemma,gsm_plus,targeted_few_shot_answer_only,drifting,83,0.415
gemma,gsm_plus,targeted_few_shot_answer_only,correct,34,0.17
gemma,gsm_plus,targeted_few_shot_answer_only,arithmetic_slip,22,0.11
gemma,gsm_plus,targeted_few_shot_answer_only,off_topic,6,0.03
gemma,gsm_plus,targeted_few_shot_answer_only,negation,5,0.025
gemma,gsm_plus,targeted_few_shot_answer_only,format_correct_wrong_answer,27,0.135
gemma,gsm_plus,targeted_few_shot_answer_only,hallucination,1,0.005
gemma,gsm_plus,random_few_shot,correct,37,0.185
gemma,gsm_plus,random_few_shot,drifting,80,0.4
gemma,gsm_plus,random_few_shot,format_correct_wrong_answer,30,0.15
gemma,gsm_plus,random_few_shot,negation,13,0.065
gemma,gsm_plus,random_few_shot,arithmetic_slip,18,0.09
gemma,gsm_plus,random_few_shot,off_topic,4,0.02
gemma,gsm_plus,random_few_shot,distractor,17,0.085
gemma,gsm_plus,random_few_shot,hallucination,1,0.005
gemma,gsm_plus,targeted_few_shot,distractor,18,0.09
gemma,gsm_plus,targeted_few_shot,drifting,90,0.45
gemma,gsm_plus,targeted_few_shot,correct,23,0.115
gemma,gsm_plus,targeted_few_shot,off_topic,7,0.035
gemma,gsm_plus,targeted_few_shot,format_correct_wrong_answer,36,0.18
gemma,gsm_plus,targeted_few_shot,negation,4,0.02
gemma,gsm_plus,targeted_few_shot,arithmetic_slip,22,0.11
gemma,gsm_plus,targeted_few_shot_k5,distractor,20,0.1
gemma,gsm_plus,targeted_few_shot_k5,drifting,86,0.43
gemma,gsm_plus,targeted_few_shot_k5,correct,22,0.11
gemma,gsm_plus,targeted_few_shot_k5,arithmetic_slip,22,0.11
gemma,gsm_plus,targeted_few_shot_k5,negation,3,0.015
gemma,gsm_plus,targeted_few_shot_k5,format_correct_wrong_answer,42,0.21
gemma,gsm_plus,targeted_few_shot_k5,off_topic,5,0.025
gemma,gsm_plus,error_targeted_icl,distractor,16,0.08
gemma,gsm_plus,error_targeted_icl,drifting,92,0.46
gemma,gsm_plus,error_targeted_icl,format_correct_wrong_answer,47,0.235
gemma,gsm_plus,error_targeted_icl,negation,13,0.065
gemma,gsm_plus,error_targeted_icl,arithmetic_slip,20,0.1
gemma,gsm_plus,error_targeted_icl,correct,8,0.04
gemma,gsm_plus,error_targeted_icl,off_topic,2,0.01
gemma,gsm_plus,error_targeted_icl,hallucination,2,0.01
gemma,gsm_plus,error_targeted_icl_random,distractor,20,0.1
gemma,gsm_plus,error_targeted_icl_random,drifting,89,0.445
gemma,gsm_plus,error_targeted_icl_random,arithmetic_slip,8,0.04
gemma,gsm_plus,error_targeted_icl_random,correct,13,0.065
gemma,gsm_plus,error_targeted_icl_random,format_correct_wrong_answer,40,0.2
gemma,gsm_plus,error_targeted_icl_random,off_topic,12,0.06
gemma,gsm_plus,error_targeted_icl_random,hallucination,15,0.075
gemma,gsm_plus,error_targeted_icl_random,negation,3,0.015
gemma,gsm_plus,error_targeted_icl_correct_only,distractor,17,0.085
gemma,gsm_plus,error_targeted_icl_correct_only,drifting,72,0.36
gemma,gsm_plus,error_targeted_icl_correct_only,format_correct_wrong_answer,38,0.19
gemma,gsm_plus,error_targeted_icl_correct_only,correct,29,0.145
gemma,gsm_plus,error_targeted_icl_correct_only,off_topic,10,0.05
gemma,gsm_plus,error_targeted_icl_correct_only,negation,13,0.065
gemma,gsm_plus,error_targeted_icl_correct_only,arithmetic_slip,20,0.1
gemma,gsm_plus,error_targeted_icl_correct_only,hallucination,1,0.005
gemma,gsm_plus,self_consistency,off_topic,142,0.71
gemma,gsm_plus,self_consistency,correct,43,0.215
gemma,gsm_plus,self_consistency,negation,3,0.015
gemma,gsm_plus,self_consistency,confidently_wrong,7,0.035
gemma,gsm_plus,self_consistency,arithmetic_slip,1,0.005
gemma,gsm_plus,self_consistency,format_correct_wrong_answer,4,0.02
gemma,gsm_ic,zero_shot_baseline,drifting,96,0.48
gemma,gsm_ic,zero_shot_baseline,format_correct_wrong_answer,37,0.185
gemma,gsm_ic,zero_shot_baseline,correct,13,0.065
gemma,gsm_ic,zero_shot_baseline,arithmetic_slip,18,0.09
gemma,gsm_ic,zero_shot_baseline,distractor,19,0.095
gemma,gsm_ic,zero_shot_baseline,negation,5,0.025
gemma,gsm_ic,zero_shot_baseline,off_topic,12,0.06
gemma,gsm_ic,zero_shot,drifting,84,0.42
gemma,gsm_ic,zero_shot,correct,41,0.205
gemma,gsm_ic,zero_shot,format_correct_wrong_answer,38,0.19
gemma,gsm_ic,zero_shot,arithmetic_slip,17,0.085
gemma,gsm_ic,zero_shot,distractor,12,0.06
gemma,gsm_ic,zero_shot,negation,6,0.03
gemma,gsm_ic,zero_shot,off_topic,1,0.005
gemma,gsm_ic,zero_shot,hallucination,1,0.005
gemma,gsm_ic,targeted_few_shot_answer_only,drifting,59,0.295
gemma,gsm_ic,targeted_few_shot_answer_only,format_correct_wrong_answer,45,0.225
gemma,gsm_ic,targeted_few_shot_answer_only,arithmetic_slip,20,0.1
gemma,gsm_ic,targeted_few_shot_answer_only,distractor,25,0.125
gemma,gsm_ic,targeted_few_shot_answer_only,correct,46,0.23
gemma,gsm_ic,targeted_few_shot_answer_only,negation,3,0.015
gemma,gsm_ic,targeted_few_shot_answer_only,confidently_wrong,2,0.01
gemma,gsm_ic,random_few_shot,drifting,64,0.32
gemma,gsm_ic,random_few_shot,correct,55,0.275
gemma,gsm_ic,random_few_shot,format_correct_wrong_answer,42,0.21
gemma,gsm_ic,random_few_shot,arithmetic_slip,15,0.075
gemma,gsm_ic,random_few_shot,distractor,18,0.09
gemma,gsm_ic,random_few_shot,negation,3,0.015
gemma,gsm_ic,random_few_shot,hallucination,2,0.01
gemma,gsm_ic,random_few_shot,off_topic,1,0.005
gemma,gsm_ic,targeted_few_shot,drifting,75,0.375
gemma,gsm_ic,targeted_few_shot,correct,35,0.175
gemma,gsm_ic,targeted_few_shot,format_correct_wrong_answer,43,0.215
gemma,gsm_ic,targeted_few_shot,arithmetic_slip,22,0.11
gemma,gsm_ic,targeted_few_shot,distractor,21,0.105
gemma,gsm_ic,targeted_few_shot,off_topic,4,0.02
gemma,gsm_ic,targeted_few_shot_k5,drifting,68,0.34
gemma,gsm_ic,targeted_few_shot_k5,format_correct_wrong_answer,51,0.255
gemma,gsm_ic,targeted_few_shot_k5,arithmetic_slip,21,0.105
gemma,gsm_ic,targeted_few_shot_k5,correct,35,0.175
gemma,gsm_ic,targeted_few_shot_k5,distractor,21,0.105
gemma,gsm_ic,targeted_few_shot_k5,off_topic,3,0.015
gemma,gsm_ic,targeted_few_shot_k5,negation,1,0.005
gemma,gsm_ic,error_targeted_icl,drifting,62,0.31
gemma,gsm_ic,error_targeted_icl,correct,11,0.055
gemma,gsm_ic,error_targeted_icl,format_correct_wrong_answer,69,0.345
gemma,gsm_ic,error_targeted_icl,distractor,20,0.1
gemma,gsm_ic,error_targeted_icl,hallucination,7,0.035
gemma,gsm_ic,error_targeted_icl,arithmetic_slip,27,0.135
gemma,gsm_ic,error_targeted_icl,negation,4,0.02
gemma,gsm_ic,error_targeted_icl_random,drifting,62,0.31
gemma,gsm_ic,error_targeted_icl_random,format_correct_wrong_answer,55,0.275
gemma,gsm_ic,error_targeted_icl_random,hallucination,14,0.07
gemma,gsm_ic,error_targeted_icl_random,distractor,23,0.115
gemma,gsm_ic,error_targeted_icl_random,correct,15,0.075
gemma,gsm_ic,error_targeted_icl_random,arithmetic_slip,18,0.09
gemma,gsm_ic,error_targeted_icl_random,off_topic,13,0.065
gemma,gsm_ic,error_targeted_icl_correct_only,drifting,65,0.325
gemma,gsm_ic,error_targeted_icl_correct_only,arithmetic_slip,19,0.095
gemma,gsm_ic,error_targeted_icl_correct_only,correct,56,0.28
gemma,gsm_ic,error_targeted_icl_correct_only,format_correct_wrong_answer,36,0.18
gemma,gsm_ic,error_targeted_icl_correct_only,distractor,19,0.095
gemma,gsm_ic,error_targeted_icl_correct_only,negation,1,0.005
gemma,gsm_ic,error_targeted_icl_correct_only,off_topic,2,0.01
gemma,gsm_ic,error_targeted_icl_correct_only,hallucination,2,0.01
gemma,gsm_ic,self_consistency,off_topic,143,0.715
gemma,gsm_ic,self_consistency,correct,48,0.24
gemma,gsm_ic,self_consistency,distractor,4,0.02
gemma,gsm_ic,self_consistency,multi_hop,1,0.005
gemma,gsm_ic,self_consistency,format_correct_wrong_answer,4,0.02
gemma,bigbench_hard,zero_shot_baseline,correct,48,0.24
gemma,bigbench_hard,zero_shot_baseline,drifting,137,0.685
gemma,bigbench_hard,zero_shot_baseline,hallucination,2,0.01
gemma,bigbench_hard,zero_shot_baseline,premise_order_sensitivity,4,0.02
gemma,bigbench_hard,zero_shot_baseline,format_correct_wrong_answer,7,0.035
gemma,bigbench_hard,zero_shot_baseline,multi_hop,2,0.01
gemma,bigbench_hard,zero_shot,drifting,135,0.675
gemma,bigbench_hard,zero_shot,correct,62,0.31
gemma,bigbench_hard,zero_shot,hallucination,2,0.01
gemma,bigbench_hard,zero_shot,format_correct_wrong_answer,1,0.005
gemma,bigbench_hard,targeted_few_shot_answer_only,drifting,131,0.655
gemma,bigbench_hard,targeted_few_shot_answer_only,multi_hop,9,0.045
gemma,bigbench_hard,targeted_few_shot_answer_only,correct,50,0.25
gemma,bigbench_hard,targeted_few_shot_answer_only,premise_order_sensitivity,10,0.05
gemma,bigbench_hard,random_few_shot,drifting,141,0.705
gemma,bigbench_hard,random_few_shot,format_correct_wrong_answer,10,0.05
gemma,bigbench_hard,random_few_shot,correct,49,0.245
gemma,bigbench_hard,targeted_few_shot,drifting,146,0.73
gemma,bigbench_hard,targeted_few_shot,correct,53,0.265
gemma,bigbench_hard,targeted_few_shot,hallucination,1,0.005
gemma,bigbench_hard,targeted_few_shot_k5,drifting,143,0.715
gemma,bigbench_hard,targeted_few_shot_k5,correct,57,0.285
gemma,bigbench_hard,error_targeted_icl,hallucination,51,0.255
gemma,bigbench_hard,error_targeted_icl,drifting,95,0.475
gemma,bigbench_hard,error_targeted_icl,correct,51,0.255
gemma,bigbench_hard,error_targeted_icl,format_correct_wrong_answer,3,0.015
gemma,bigbench_hard,error_targeted_icl_random,hallucination,29,0.145
gemma,bigbench_hard,error_targeted_icl_random,drifting,109,0.545
gemma,bigbench_hard,error_targeted_icl_random,arithmetic_slip,2,0.01
gemma,bigbench_hard,error_targeted_icl_random,correct,51,0.255
gemma,bigbench_hard,error_targeted_icl_random,format_correct_wrong_answer,9,0.045
gemma,bigbench_hard,error_targeted_icl_correct_only,drifting,145,0.725
gemma,bigbench_hard,error_targeted_icl_correct_only,correct,44,0.22
gemma,bigbench_hard,error_targeted_icl_correct_only,hallucination,6,0.03
gemma,bigbench_hard,error_targeted_icl_correct_only,format_correct_wrong_answer,5,0.025
gemma,bigbench_hard,self_consistency,correct,63,0.315
gemma,bigbench_hard,self_consistency,off_topic,38,0.19
gemma,bigbench_hard,self_consistency,multi_hop,44,0.22
gemma,bigbench_hard,self_consistency,premise_order_sensitivity,55,0.275
gemma,bigbench_hard_tracking,zero_shot_baseline,drifting,168,0.84
gemma,bigbench_hard_tracking,zero_shot_baseline,correct,32,0.16
gemma,bigbench_hard_tracking,zero_shot,drifting,166,0.83
gemma,bigbench_hard_tracking,zero_shot,correct,33,0.165
gemma,bigbench_hard_tracking,zero_shot,format_correct_wrong_answer,1,0.005
gemma,bigbench_hard_tracking,targeted_few_shot_answer_only,drifting,168,0.84
gemma,bigbench_hard_tracking,targeted_few_shot_answer_only,correct,27,0.135
gemma,bigbench_hard_tracking,targeted_few_shot_answer_only,format_correct_wrong_answer,5,0.025
gemma,bigbench_hard_tracking,random_few_shot,format_correct_wrong_answer,7,0.035
gemma,bigbench_hard_tracking,random_few_shot,drifting,146,0.73
gemma,bigbench_hard_tracking,random_few_shot,correct,31,0.155
gemma,bigbench_hard_tracking,random_few_shot,distractor,16,0.08
gemma,bigbench_hard_tracking,targeted_few_shot,drifting,177,0.885
gemma,bigbench_hard_tracking,targeted_few_shot,format_correct_wrong_answer,23,0.115
gemma,bigbench_hard_tracking,targeted_few_shot_k5,drifting,146,0.73
gemma,bigbench_hard_tracking,targeted_few_shot_k5,format_correct_wrong_answer,26,0.13
gemma,bigbench_hard_tracking,targeted_few_shot_k5,distractor,21,0.105
gemma,bigbench_hard_tracking,targeted_few_shot_k5,off_topic,7,0.035
gemma,bigbench_hard_tracking,error_targeted_icl,drifting,144,0.72
gemma,bigbench_hard_tracking,error_targeted_icl,hallucination,24,0.12
gemma,bigbench_hard_tracking,error_targeted_icl,arithmetic_slip,2,0.01
gemma,bigbench_hard_tracking,error_targeted_icl,correct,29,0.145
gemma,bigbench_hard_tracking,error_targeted_icl,format_correct_wrong_answer,1,0.005
gemma,bigbench_hard_tracking,error_targeted_icl_random,drifting,124,0.62
gemma,bigbench_hard_tracking,error_targeted_icl_random,format_correct_wrong_answer,10,0.05
gemma,bigbench_hard_tracking,error_targeted_icl_random,off_topic,5,0.025
gemma,bigbench_hard_tracking,error_targeted_icl_random,correct,23,0.115
gemma,bigbench_hard_tracking,error_targeted_icl_random,hallucination,26,0.13
gemma,bigbench_hard_tracking,error_targeted_icl_random,arithmetic_slip,9,0.045
gemma,bigbench_hard_tracking,error_targeted_icl_random,distractor,3,0.015
gemma,bigbench_hard_tracking,error_targeted_icl_correct_only,drifting,162,0.81
gemma,bigbench_hard_tracking,error_targeted_icl_correct_only,correct,33,0.165
gemma,bigbench_hard_tracking,error_targeted_icl_correct_only,format_correct_wrong_answer,4,0.02
gemma,bigbench_hard_tracking,error_targeted_icl_correct_only,off_topic,1,0.005
gemma,bigbench_hard_tracking,self_consistency,off_topic,156,0.78
gemma,bigbench_hard_tracking,self_consistency,confidently_wrong,10,0.05
gemma,bigbench_hard_tracking,self_consistency,correct,34,0.17
gemma,gsm8k,zero_shot_baseline,arithmetic_slip,20,0.1
gemma,gsm8k,zero_shot_baseline,drifting,97,0.485
gemma,gsm8k,zero_shot_baseline,off_topic,16,0.08
gemma,gsm8k,zero_shot_baseline,correct,11,0.055
gemma,gsm8k,zero_shot_baseline,format_correct_wrong_answer,36,0.18
gemma,gsm8k,zero_shot_baseline,distractor,13,0.065
gemma,gsm8k,zero_shot_baseline,negation,7,0.035
gemma,gsm8k,zero_shot,drifting,86,0.43
gemma,gsm8k,zero_shot,format_correct_wrong_answer,37,0.185
gemma,gsm8k,zero_shot,correct,47,0.235
gemma,gsm8k,zero_shot,arithmetic_slip,16,0.08
gemma,gsm8k,zero_shot,negation,7,0.035
gemma,gsm8k,zero_shot,distractor,7,0.035
gemma,gsm8k,targeted_few_shot_answer_only,arithmetic_slip,21,0.105
gemma,gsm8k,targeted_few_shot_answer_only,drifting,71,0.355
gemma,gsm8k,targeted_few_shot_answer_only,format_correct_wrong_answer,32,0.16
gemma,gsm8k,targeted_few_shot_answer_only,correct,49,0.245
gemma,gsm8k,targeted_few_shot_answer_only,hallucination,1,0.005
gemma,gsm8k,targeted_few_shot_answer_only,distractor,23,0.115
gemma,gsm8k,targeted_few_shot_answer_only,negation,1,0.005
gemma,gsm8k,targeted_few_shot_answer_only,confidently_wrong,2,0.01
gemma,gsm8k,random_few_shot,arithmetic_slip,19,0.095
gemma,gsm8k,random_few_shot,drifting,67,0.335
gemma,gsm8k,random_few_shot,format_correct_wrong_answer,35,0.175
gemma,gsm8k,random_few_shot,negation,2,0.01
gemma,gsm8k,random_few_shot,correct,58,0.29
gemma,gsm8k,random_few_shot,distractor,18,0.09
gemma,gsm8k,random_few_shot,hallucination,1,0.005
gemma,gsm8k,targeted_few_shot,arithmetic_slip,18,0.09
gemma,gsm8k,targeted_few_shot,drifting,80,0.4
gemma,gsm8k,targeted_few_shot,off_topic,2,0.01
gemma,gsm8k,targeted_few_shot,format_correct_wrong_answer,39,0.195
gemma,gsm8k,targeted_few_shot,correct,41,0.205
gemma,gsm8k,targeted_few_shot,distractor,17,0.085
gemma,gsm8k,targeted_few_shot,negation,3,0.015
gemma,gsm8k,targeted_few_shot_k5,arithmetic_slip,21,0.105
gemma,gsm8k,targeted_few_shot_k5,drifting,73,0.365
gemma,gsm8k,targeted_few_shot_k5,format_correct_wrong_answer,48,0.24
gemma,gsm8k,targeted_few_shot_k5,correct,35,0.175
gemma,gsm8k,targeted_few_shot_k5,distractor,21,0.105
gemma,gsm8k,targeted_few_shot_k5,off_topic,1,0.005
gemma,gsm8k,targeted_few_shot_k5,negation,1,0.005
gemma,gsm8k,error_targeted_icl,format_correct_wrong_answer,64,0.32
gemma,gsm8k,error_targeted_icl,drifting,72,0.36
gemma,gsm8k,error_targeted_icl,off_topic,1,0.005
gemma,gsm8k,error_targeted_icl,distractor,22,0.11
gemma,gsm8k,error_targeted_icl,correct,17,0.085
gemma,gsm8k,error_targeted_icl,hallucination,8,0.04
gemma,gsm8k,error_targeted_icl,arithmetic_slip,16,0.08
gemma,gsm8k,error_targeted_icl_random,drifting,72,0.36
gemma,gsm8k,error_targeted_icl_random,off_topic,4,0.02
gemma,gsm8k,error_targeted_icl_random,format_correct_wrong_answer,43,0.215
gemma,gsm8k,error_targeted_icl_random,correct,19,0.095
gemma,gsm8k,error_targeted_icl_random,arithmetic_slip,15,0.075
gemma,gsm8k,error_targeted_icl_random,distractor,25,0.125
gemma,gsm8k,error_targeted_icl_random,hallucination,20,0.1
gemma,gsm8k,error_targeted_icl_random,negation,2,0.01
gemma,gsm8k,error_targeted_icl_correct_only,correct,56,0.28
gemma,gsm8k,error_targeted_icl_correct_only,drifting,73,0.365
gemma,gsm8k,error_targeted_icl_correct_only,format_correct_wrong_answer,37,0.185
gemma,gsm8k,error_targeted_icl_correct_only,arithmetic_slip,10,0.05
gemma,gsm8k,error_targeted_icl_correct_only,distractor,20,0.1
gemma,gsm8k,error_targeted_icl_correct_only,off_topic,2,0.01
gemma,gsm8k,error_targeted_icl_correct_only,negation,2,0.01
gemma,gsm8k,self_consistency,off_topic,137,0.685
gemma,gsm8k,self_consistency,correct,49,0.245
gemma,gsm8k,self_consistency,confidently_wrong,4,0.02
gemma,gsm8k,self_consistency,format_correct_wrong_answer,5,0.025
gemma,gsm8k,self_consistency,multi_hop,4,0.02
gemma,gsm8k,self_consistency,negation,1,0.005
gemma,folio,zero_shot_baseline,drifting,36,0.19672131147540983
gemma,folio,zero_shot_baseline,correct,82,0.44808743169398907
gemma,folio,zero_shot_baseline,format_correct_wrong_answer,41,0.22404371584699453
gemma,folio,zero_shot_baseline,off_topic,8,0.04371584699453552
gemma,folio,zero_shot_baseline,distractor,12,0.06557377049180328
gemma,folio,zero_shot_baseline,negation,2,0.01092896174863388
gemma,folio,zero_shot_baseline,premise_order_sensitivity,2,0.01092896174863388
gemma,folio,zero_shot,drifting,41,0.22404371584699453
gemma,folio,zero_shot,correct,87,0.47540983606557374
gemma,folio,zero_shot,format_correct_wrong_answer,26,0.14207650273224043
gemma,folio,zero_shot,distractor,15,0.08196721311475409
gemma,folio,zero_shot,off_topic,7,0.03825136612021858
gemma,folio,zero_shot,hallucination,1,0.00546448087431694
gemma,folio,zero_shot,negation,6,0.03278688524590164
gemma,folio,targeted_few_shot_answer_only,correct,86,0.46994535519125685
gemma,folio,targeted_few_shot_answer_only,format_correct_wrong_answer,19,0.10382513661202186
gemma,folio,targeted_few_shot_answer_only,hallucination,1,0.00546448087431694
gemma,folio,targeted_few_shot_answer_only,off_topic,18,0.09836065573770492
gemma,folio,targeted_few_shot_answer_only,premise_order_sensitivity,30,0.16393442622950818
gemma,folio,targeted_few_shot_answer_only,drifting,19,0.10382513661202186
gemma,folio,targeted_few_shot_answer_only,negation,3,0.01639344262295082
gemma,folio,targeted_few_shot_answer_only,distractor,7,0.03825136612021858
gemma,folio,random_few_shot,format_correct_wrong_answer,110,0.6010928961748634
gemma,folio,random_few_shot,correct,67,0.366120218579235
gemma,folio,random_few_shot,distractor,3,0.01639344262295082
gemma,folio,random_few_shot,drifting,3,0.01639344262295082
gemma,folio,targeted_few_shot,correct,78,0.4262295081967213
gemma,folio,targeted_few_shot,drifting,56,0.30601092896174864
gemma,folio,targeted_few_shot,distractor,19,0.10382513661202186
gemma,folio,targeted_few_shot,off_topic,5,0.0273224043715847
gemma,folio,targeted_few_shot,format_correct_wrong_answer,12,0.06557377049180328
gemma,folio,targeted_few_shot,hallucination,7,0.03825136612021858
gemma,folio,targeted_few_shot,negation,6,0.03278688524590164
gemma,folio,targeted_few_shot_k5,correct,76,0.41530054644808745
gemma,folio,targeted_few_shot_k5,drifting,52,0.28415300546448086
gemma,folio,targeted_few_shot_k5,hallucination,13,0.07103825136612021
gemma,folio,targeted_few_shot_k5,off_topic,10,0.0546448087431694
gemma,folio,targeted_few_shot_k5,negation,7,0.03825136612021858
gemma,folio,targeted_few_shot_k5,distractor,14,0.07650273224043716
gemma,folio,targeted_few_shot_k5,format_correct_wrong_answer,11,0.060109289617486336
gemma,folio,error_targeted_icl,correct,85,0.4644808743169399
gemma,folio,error_targeted_icl,drifting,62,0.33879781420765026
gemma,folio,error_targeted_icl,off_topic,12,0.06557377049180328
gemma,folio,error_targeted_icl,distractor,11,0.060109289617486336
gemma,folio,error_targeted_icl,format_correct_wrong_answer,5,0.0273224043715847
gemma,folio,error_targeted_icl,premise_order_sensitivity,2,0.01092896174863388
gemma,folio,error_targeted_icl,negation,4,0.02185792349726776
gemma,folio,error_targeted_icl,hallucination,2,0.01092896174863388
gemma,folio,error_targeted_icl_random,correct,86,0.46994535519125685
gemma,folio,error_targeted_icl_random,drifting,31,0.16939890710382513
gemma,folio,error_targeted_icl_random,distractor,9,0.04918032786885246
gemma,folio,error_targeted_icl_random,off_topic,19,0.10382513661202186
gemma,folio,error_targeted_icl_random,format_correct_wrong_answer,23,0.12568306010928962
gemma,folio,error_targeted_icl_random,hallucination,5,0.0273224043715847
gemma,folio,error_targeted_icl_random,negation,9,0.04918032786885246
gemma,folio,error_targeted_icl_random,arithmetic_slip,1,0.00546448087431694
gemma,folio,error_targeted_icl_correct_only,correct,91,0.4972677595628415
gemma,folio,error_targeted_icl_correct_only,drifting,49,0.2677595628415301
gemma,folio,error_targeted_icl_correct_only,distractor,14,0.07650273224043716
gemma,folio,error_targeted_icl_correct_only,off_topic,8,0.04371584699453552
gemma,folio,error_targeted_icl_correct_only,hallucination,6,0.03278688524590164
gemma,folio,error_targeted_icl_correct_only,format_correct_wrong_answer,8,0.04371584699453552
gemma,folio,error_targeted_icl_correct_only,negation,6,0.03278688524590164
gemma,folio,error_targeted_icl_correct_only,multi_hop,1,0.00546448087431694
gemma,folio,self_consistency,correct,86,0.46994535519125685
gemma,folio,self_consistency,off_topic,97,0.5300546448087432
